Object1ID	Object1Type	Object1PrefName	Object1TextSynonyms	Object2ID	Object2Type	Object2PrefName	Object2TextSynonyms	Predicate	Direction	ConfidenceScore	n_sentences	n_pmids	SupportPMIDs
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19	14320	Disease	generalized anxiety disorder	GAD	increases risk of	->	0.213	1	1	39019647
0005798	Disease	HIV-associated nephropathy	HIV	12721	Species	Human immunodeficiency virus	HIV	is associated with	<->	0.212322	2	2	26724694; 31933016
1680	Species	Bifidobacterium adolescentis	Bifidobacterium adolescentis	1470	Disease	major depressive disorder	MDD	increases risk of	->	0.212044	1	1	40552978
3052230	Species	Orthohepacivirus hominis	HCV	5419	Disease	schizophrenia	schizophrenia	leads to	->	0.211976	2	1	19061674
11206	Disease	opioid abuse	Drug abusers	12721	Species	Human immunodeficiency virus	HIV	is associated with	<->	0.211414	1	1	10759035
1470	Disease	major depressive disorder	depression	3052230	Species	Orthohepacivirus hominis	HCV	is associated with	<->	0.209304	1	1	17292481
0000602	Disease	apathy	apathy	12721	Species	Human immunodeficiency virus	HIV	is associated with	<->	0.208437	1	1	40633520
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19		Disease	PASC	PASC	increases risk of	->	0.208305	2	1	41160025
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19; SARS-CoV-2	9389	Disease	infectious anterior uveitis	infection with	causes	->	0.208157	2	1	35185890
10359	Species	Human betaherpesvirus 5	CMV	1470	Disease	major depressive disorder	depression	increases risk of	->	0.207842	2	1	25218654
12721	Species	Human immunodeficiency virus	HIV		Disease	CMD	CMD	increases risk of	->	0.205556	1	1	23532397
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19		Disease	STB	STB	increases risk of	->	0.205556	1	1	39019647
9256	Disease	colorectal cancer	colorectal cancer	1351	Species	Enterococcus faecalis	Enterococcus faecalis	is associated with	<->	0.205375	1	1	35115689
837	Species	Porphyromonas gingivalis	Porphyromonas gingivalis		Disease	depressive-like	depressive-like	causes	->	0.203879	1	1	37735127
12721	Species	Human immunodeficiency virus	HIV		Disease	HF	HF	increases risk of	->	0.203542	1	1	26358261
2697049	Species	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2		Disease	PASC	PASC	leads to	->	0.20226	1	1	41160025
12140	Disease	Chagas disease	Chagas disease	12721	Species	Human immunodeficiency virus	HIV	is associated with	<->	0.201808	1	1	24845116
12721	Species	Human immunodeficiency virus	HIV		Disease	Psychiatric comorbidity	Psychiatric comorbidity	causes	->	0.199809	1	1	31297682
12721	Species	Human immunodeficiency virus	HIV	0004951	Disease	susceptibility to HIV infection	HIV infection	increases risk of	->	0.199079	1	1	17099559
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19		Disease	Obsessive-Compulsive Symptoms	Obsessive-Compulsive Symptoms	leads to	->	0.198922	1	1	32987764
12721	Species	Human immunodeficiency virus	HIV		Disease	neurocognitive impairment	neurocognitive impairment	increases risk of	->	0.198066	1	1	34981438
	Disease	psychiatric comorbidities	psychiatric comorbidities	12721	Species	Human immunodeficiency virus	HIV	is associated with	<->	0.196386	1	1	24845116
3052230	Species	Orthohepacivirus hominis	HCV	1883	Disease	hepatitis C	hepatitis C	causes	->	0.195462	1	1	21907062
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19	0060041	Disease	autism spectrum disorder	psychological disorders	increases risk of	->	0.19506	1	1	34062769
10359	Species	Human betaherpesvirus 5	human cytomegalovirus	1470	Disease	major depressive disorder	depressed; MDD	causes	->	0.19433	2	1	33500556
2697049	Species	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2	3312	Disease	bipolar disorder	BD; bipolar disorder	leads to	->	0.193588	2	1	35185890
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19		Disease	with	with	increases risk of	->	0.192119	2	1	41160025
0000022	Disease	depression	chronic depression	12721	Species	Human immunodeficiency virus	HIV	is associated with	<->	0.192055	1	1	25892152
12455	Species	Borna disease virus	Borna disease virus	10554	Disease	meningoencephalitis	meningoencephalitis	causes	->	0.191876	1	1	22290118
12721	Species	Human immunodeficiency virus	HIV	3324	Disease	mood disorder	mood disorder	increases risk of	->	0.191876	1	1	22614744
3312	Disease	bipolar disorder	depressive disorders	12721	Species	Human immunodeficiency virus	HIV	is associated with	<->	0.191876	1	1	33888003
239935	Species	Akkermansia muciniphila	Akkermansia muciniphila	1470	Disease	major depressive disorder	MD	increases risk of	->	0.191876	1	1	40298641
12721	Species	Human immunodeficiency virus	HIV	2348	Disease	arteriosclerotic cardiovascular disease	cardiovascular disease	leads to	->	0.191611	7	1	26358261
10359	Species	Human betaherpesvirus 5	Human cytomegalovirus		Disease	impaired immunity	impaired immunity	causes	->	0.190103	1	1	34493708
